Poussée (kN),Isp (s),Pc (bar),ṁ total (kg/s),ṁ N₂O (kg/s),ṁ Éthanol (kg/s),V̇ N₂O (L/s),V̇ Éthanol (L/s),P N₂O (kW),P Éthanol (kW),P total (kW)
200.0,270.0,20,75.53453429466137,50.35635619644091,25.178178098220457,67.14180826192121,33.570904130960606,103.29508963372494,88.25846266172701,191.55355229545194
200.0,270.0,40,75.53453429466137,50.35635619644091,25.178178098220457,67.14180826192121,33.570904130960606,309.88526890117487,186.32342117475704,496.20869007593194
200.0,270.0,60,75.53453429466137,50.35635619644091,25.178178098220457,67.14180826192121,33.570904130960606,516.4754481686247,284.38837968778705,800.8638278564117
