Poussée (kN),Isp (s),Pc (bar),ṁ total (kg/s),ṁ N₂O (kg/s),ṁ Éthanol (kg/s),V̇ N₂O (L/s),V̇ Éthanol (L/s),P N₂O (kW),P Éthanol (kW),P total (kW)
50.0,300.0,20,16.995270216298806,11.330180144199204,5.665090072099602,15.106906858932271,7.553453429466136,23.24139516758811,19.858154098888576,43.099549266476686
50.0,300.0,40,16.995270216298806,11.330180144199204,5.665090072099602,15.106906858932271,7.553453429466136,69.72418550276433,41.92276976432032,111.64695526708465
50.0,300.0,60,16.995270216298806,11.330180144199204,5.665090072099602,15.106906858932271,7.553453429466136,116.20697583794055,63.987385429752074,180.1943612676926
