,Pressure,Temperature,Density,Sound Speed,Speed,Mach,Gamma,Cp,Cv,R,m_dot,x,radius
0,5976840.5880239,3993.54536250698,5.078058843726135,1193.2075016155407,36.9166623649128,0.030939012967090444,1.208957789676572,1706.1327122552873,1411.2425816882514,294.8914563938724,35.77951624483959,0.0,0.12615662610100364
1,5976840.5880239,3993.54536250698,5.078058843726135,1193.2075016155407,36.9166623649128,0.030939012967090444,1.208957789676572,1706.1327122552873,1411.2425816882514,294.8914563938724,35.77951624483959,0.0020310889815389555,0.12615662610100364
2,5976840.5880239,3993.54536250698,5.078058843726135,1193.2075016155407,36.9166623649128,0.030939012967090444,1.208957789676572,1706.1327122552873,1411.2425816882514,294.8914563938724,35.77951624483959,0.004062177963077911,0.12615662610100364
3,5976840.5880239,3993.54536250698,5.078058843726135,1193.2075016155407,36.9166623649128,0.030939012967090444,1.208957789676572,1706.1327122552873,1411.2425816882514,294.8914563938724,35.77951624483959,0.0060932669446168665,0.12615662610100364
4,5976840.5880239,3993.54536250698,5.078058843726135,1193.2075016155407,36.9166623649128,0.030939012967090444,1.208957789676572,1706.1327122552873,1411.2425816882514,294.8914563938724,35.77951624483959,0.008124355926155822,0.12615662610100364
5,5976840.5880239,3993.54536250698,5.078058843726135,1193.2075016155407,36.9166623649128,0.030939012967090444,1.208957789676572,1706.1327122552873,1411.2425816882514,294.8914563938724,35.77951624483959,0.010155444907694777,0.12615662610100364
6,5976840.5880239,3993.54536250698,5.078058843726135,1193.2075016155407,36.9166623649128,0.030939012967090444,1.208957789676572,1706.1327122552873,1411.2425816882514,294.8914563938724,35.77951624483959,0.012186533889233733,0.12615662610100364
7,5976840.5880239,3993.54536250698,5.078058843726135,1193.2075016155407,36.9166623649128,0.030939012967090444,1.208957789676572,1706.1327122552873,1411.2425816882514,294.8914563938724,35.77951624483959,0.01421762287077269,0.12615662610100364
8,5976840.5880239,3993.54536250698,5.078058843726135,1193.2075016155407,36.9166623649128,0.030939012967090444,1.208957789676572,1706.1327122552873,1411.2425816882514,294.8914563938724,35.77951624483959,0.016248711852311644,0.12615662610100364
9,5976840.5880239,3993.54536250698,5.078058843726135,1193.2075016155407,36.9166623649128,0.030939012967090444,1.208957789676572,1706.1327122552873,1411.2425816882514,294.8914563938724,35.77951624483959,0.0182798008338506,0.12615662610100364
10,5976840.5880239,3993.54536250698,5.078058843726135,1193.2075016155407,36.9166623649128,0.030939012967090444,1.208957789676572,1706.1327122552873,1411.2425816882514,294.8914563938724,35.77951624483959,0.020310889815389553,0.12615662610100364
11,5976840.5880239,3993.54536250698,5.078058843726135,1193.2075016155407,36.9166623649128,0.030939012967090444,1.208957789676572,1706.1327122552873,1411.2425816882514,294.8914563938724,35.77951624483959,0.02234197879692851,0.12615662610100364
12,5976840.5880239,3993.54536250698,5.078058843726135,1193.2075016155407,36.9166623649128,0.030939012967090444,1.208957789676572,1706.1327122552873,1411.2425816882514,294.8914563938724,35.77951624483959,0.024373067778467466,0.12615662610100364
13,5976840.5880239,3993.54536250698,5.078058843726135,1193.2075016155407,36.9166623649128,0.030939012967090444,1.208957789676572,1706.1327122552873,1411.2425816882514,294.8914563938724,35.77951624483959,0.02640415676000642,0.12615662610100364
14,5976840.5880239,3993.54536250698,5.078058843726135,1193.2075016155407,36.9166623649128,0.030939012967090444,1.208957789676572,1706.1327122552873,1411.2425816882514,294.8914563938724,35.77951624483959,0.02843524574154538,0.12615662610100364
15,5976840.5880239,3993.54536250698,5.078058843726135,1193.2075016155407,36.9166623649128,0.030939012967090444,1.208957789676572,1706.1327122552873,1411.2425816882514,294.8914563938724,35.77951624483959,0.030466334723084333,0.12615662610100364
16,5976840.5880239,3993.54536250698,5.078058843726135,1193.2075016155407,36.9166623649128,0.030939012967090444,1.208957789676572,1706.1327122552873,1411.2425816882514,294.8914563938724,35.77951624483959,0.03249742370462329,0.12615662610100364
17,5976840.5880239,3993.54536250698,5.078058843726135,1193.2075016155407,36.9166623649128,0.030939012967090444,1.208957789676572,1706.1327122552873,1411.2425816882514,294.8914563938724,35.77951624483959,0.03452851268616224,0.12615662610100364
18,5976840.5880239,3993.54536250698,5.078058843726135,1193.2075016155407,36.9166623649128,0.030939012967090444,1.208957789676572,1706.1327122552873,1411.2425816882514,294.8914563938724,35.77951624483959,0.0365596016677012,0.12615662610100364
19,5976840.5880239,3993.54536250698,5.078058843726135,1193.2075016155407,36.9166623649128,0.030939012967090444,1.208957789676572,1706.1327122552873,1411.2425816882514,294.8914563938724,35.77951624483959,0.03859069064924015,0.12615662610100364
20,5976840.5880239,3993.54536250698,5.078058843726135,1193.2075016155407,36.9166623649128,0.030939012967090444,1.208957789676572,1706.1327122552873,1411.2425816882514,294.8914563938724,35.77951624483959,0.040621779630779106,0.12615662610100364
21,5976840.5880239,3993.54536250698,5.078058843726135,1193.2075016155407,36.9166623649128,0.030939012967090444,1.208957789676572,1706.1327122552873,1411.2425816882514,294.8914563938724,35.77951624483959,0.04265286861231807,0.12615662610100364
22,5976840.5880239,3993.54536250698,5.078058843726135,1193.2075016155407,36.9166623649128,0.030939012967090444,1.208957789676572,1706.1327122552873,1411.2425816882514,294.8914563938724,35.77951624483959,0.04468395759385702,0.12615662610100364
23,5976840.5880239,3993.54536250698,5.078058843726135,1193.2075016155407,36.9166623649128,0.030939012967090444,1.208957789676572,1706.1327122552873,1411.2425816882514,294.8914563938724,35.77951624483959,0.04671504657539598,0.12615662610100364
