Poussée (kN),Isp (s),Pc (bar),ṁ total (kg/s),ṁ N₂O (kg/s),ṁ Éthanol (kg/s),V̇ N₂O (L/s),V̇ Éthanol (L/s),P N₂O (kW),P Éthanol (kW),P total (kW)
50.0,270.0,20,18.883633573665342,12.589089049110228,6.294544524555114,16.785452065480303,8.392726032740152,25.823772408431235,22.064615665431752,47.888388073862984
50.0,270.0,40,18.883633573665342,12.589089049110228,6.294544524555114,16.785452065480303,8.392726032740152,77.47131722529372,46.58085529368926,124.05217251898299
50.0,270.0,60,18.883633573665342,12.589089049110228,6.294544524555114,16.785452065480303,8.392726032740152,129.11886204215617,71.09709492194676,200.21595696410293
50.0,285.0,20,17.889758122419796,11.92650541494653,5.963252707473265,15.902007219928706,7.951003609964353,24.46462649219801,20.903320104093233,45.36794659629125
50.0,285.0,40,17.889758122419796,11.92650541494653,5.963252707473265,15.902007219928706,7.951003609964353,73.39387947659402,44.1292313308635,117.52311080745753
50.0,285.0,60,17.889758122419796,11.92650541494653,5.963252707473265,15.902007219928706,7.951003609964353,122.32313246099005,67.35514255763376,189.67827501862382
50.0,300.0,20,16.995270216298806,11.330180144199204,5.665090072099602,15.106906858932271,7.553453429466136,23.24139516758811,19.858154098888576,43.099549266476686
50.0,300.0,40,16.995270216298806,11.330180144199204,5.665090072099602,15.106906858932271,7.553453429466136,69.72418550276433,41.92276976432032,111.64695526708465
50.0,300.0,60,16.995270216298806,11.330180144199204,5.665090072099602,15.106906858932271,7.553453429466136,116.20697583794055,63.987385429752074,180.1943612676926
100.0,270.0,20,37.767267147330685,25.178178098220457,12.589089049110228,33.570904130960606,16.785452065480303,51.64754481686247,44.129231330863504,95.77677614772597
100.0,270.0,40,37.767267147330685,25.178178098220457,12.589089049110228,33.570904130960606,16.785452065480303,154.94263445058743,93.16171058737852,248.10434503796597
100.0,270.0,60,37.767267147330685,25.178178098220457,12.589089049110228,33.570904130960606,16.785452065480303,258.23772408431233,142.19418984389353,400.43191392820586
100.0,285.0,20,35.77951624483959,23.85301082989306,11.92650541494653,31.80401443985741,15.902007219928706,48.92925298439602,41.806640208186465,90.7358931925825
100.0,285.0,40,35.77951624483959,23.85301082989306,11.92650541494653,31.80401443985741,15.902007219928706,146.78775895318805,88.258462661727,235.04622161491505
100.0,285.0,60,35.77951624483959,23.85301082989306,11.92650541494653,31.80401443985741,15.902007219928706,244.6462649219801,134.7102851152675,379.35655003724764
100.0,300.0,20,33.99054043259761,22.660360288398408,11.330180144199204,30.213813717864543,15.106906858932271,46.48279033517622,39.71630819777715,86.19909853295337
100.0,300.0,40,33.99054043259761,22.660360288398408,11.330180144199204,30.213813717864543,15.106906858932271,139.44837100552866,83.84553952864064,223.2939105341693
100.0,300.0,60,33.99054043259761,22.660360288398408,11.330180144199204,30.213813717864543,15.106906858932271,232.4139516758811,127.97477085950415,360.3887225353852
200.0,270.0,20,75.53453429466137,50.35635619644091,25.178178098220457,67.14180826192121,33.570904130960606,103.29508963372494,88.25846266172701,191.55355229545194
200.0,270.0,40,75.53453429466137,50.35635619644091,25.178178098220457,67.14180826192121,33.570904130960606,309.88526890117487,186.32342117475704,496.20869007593194
200.0,270.0,60,75.53453429466137,50.35635619644091,25.178178098220457,67.14180826192121,33.570904130960606,516.4754481686247,284.38837968778705,800.8638278564117
200.0,285.0,20,71.55903248967918,47.70602165978612,23.85301082989306,63.60802887971482,31.80401443985741,97.85850596879204,83.61328041637293,181.471786385165
200.0,285.0,40,71.55903248967918,47.70602165978612,23.85301082989306,63.60802887971482,31.80401443985741,293.5755179063761,176.516925323454,470.0924432298301
200.0,285.0,60,71.55903248967918,47.70602165978612,23.85301082989306,63.60802887971482,31.80401443985741,489.2925298439602,269.420570230535,758.7131000744953
200.0,300.0,20,67.98108086519522,45.320720576796816,22.660360288398408,60.427627435729086,30.213813717864543,92.96558067035244,79.4326163955543,172.39819706590674
200.0,300.0,40,67.98108086519522,45.320720576796816,22.660360288398408,60.427627435729086,30.213813717864543,278.8967420110573,167.69107905728129,446.5878210683386
200.0,300.0,60,67.98108086519522,45.320720576796816,22.660360288398408,60.427627435729086,30.213813717864543,464.8279033517622,255.9495417190083,720.7774450707705
